id,job title,job industry,skills,education,experience
19108760,PATIENT ADVOCATE CLINICAL CARE COORDINATOR CAREER,ADVOCATE,"Prospecting and cold calling, Team building expertise, Strategic account development, Strong interpersonal skills, Key account generation, Sales force training, Business negotiation, Strong lead development skills, Analytical skills, Anesthesiology, Business development, Case management, Change management, Customer service, Database design and management, Knowledge management, Leadership, Multitasking, Negotiating, Problem-solving, Project management, Sales experience, Six Sigma, Teamwork, Trainer","FAIRLEIGH DICKINSON UNIVERSITY: Master of Public Administration, Health Care Administration, FDU: Master of Administrative Science, Human Resource Administration, FDU: Paralegal Studies - ABA Approved, Paralegal, RUTGERS UNIVERSITY: Bachelor of Arts, Political Science / and Urban Planning, Villanova University: Masters of Information and Library Science, Knowledge Management","MEDICAL SALES REPRESENTATIVE, PROFESSIONAL SALES REPRESENTATIVE, MEDICAL REPRESENTATIVE"
14708590,SERVICE ADVOCATE IV CLINICAL SUPPORT,ADVOCATE,"Strong analytical skills, Documentation skills, Research skills, Interpersonal and communication skills, Report writing, Project management, Medical terminology specialist, Database management, Claims file management processes, Quality assurance, People skills: advanced problem-solving, Great organizational skills","All Lines Claims Adjuster, Florida State College at Jacksonville, Bachelor of Arts: Psychology, University of North Florida, Bachelor of Science: Nursing, Jacksonville University, Associate of Arts: Psychology, St Johns River Community College","Service Advocate V- Sales Support Agent Service, Service Advocate IV- Enrollment Maintenance and Billing"
77439230,MARKET CONSULTANT HEALTHCARE ADVOCATE,ADVOCATE,"Government relations knowledge, Provider education and communication, Personal and professional integrity, Database management, Relationship and team building, Organizational planning, Sound decision making, Excellent research skills, Claims analysis and review specialist, Project management, Premier, Automate, Behavioral Health, Benefits administration, Contracts, Critical thinking, Client, Customer service, Database management, Decision making, Documentation, Employee relations, HIPAA regulations, Insurance, Internal audit, Team building, Leadership, Exchange, Negotiation, Network, Organizational, Personnel, Policies, Presentations, Pricing, Processes, Recruitment, Research, Six Sigma, Sound, Workflow",University of New Mexico - Business Administration Human Resources Management,"Provider Network Specialist, Claims and Third Party Liability Supervisor, Provider Relations Field Representative, Supervisor, Recruitment Specialist, HRIS Administrator"
40088790,PERSONAL BANKER SAFE 1 AND BUSINESS,ADVOCATE,"Leadership, Marketing, Motivation, Multi-unit Operation Management, Negotiation Skills, New Business Development, Operations Start-Up, Organizational Restructure and Change, Outsourcing, Performance Analysis, Problem Resolution, Project Management, Project Planning, Public Relations, Sales, Sales Analysis, Service Quality Improvement, Staff Development, Staff Motivation, Staff Training, Change Implementation, Communication Skills, Community Outreach, Cross-Cultural Communications, Customer Relations, Departmental Operations Management, Diverse Market/Industry Knowledge, Event Management and Promotion, Expense Control, Fast Learner, Hard-worker, Interpersonal Skills, Staff-Retention Programs, Start-Ups and Acquisitions, Team Building, Team Leadership, Team Player","St. Bridget's College, Social Work, Bachelor's Degree","Relationship Banker, Small Business Specialist, Investment Representative, Personal Banker, Telephone Banker/ Customer Service Representative"
22042181,ASSOCIATE CLAIM PROCESSOR MEMBER SERVICE ADVOCATE,ADVOCATE,"Customer service, Verbal and written communication, Team collaboration, Problem solving and decision making, Strong Analytics, Strong work ethic, Working independently and in a team environment, Strong leadership, Interpersonal skills","Behavioral Science, Wilmington University, Accounting, Franklin Morris Business Academy, General Studies, John W. Hallahan Catholic High School","Claim Processor, Customer Service Representative, Team Lead/BlueCard Host Adjustments, EDI Enrollment Specialist, Underwriting Assistant"
29415426,CLIENT ADVOCATE ESCALATION SPECIALIST,ADVOCATE,"Results-oriented, Self-directed, Strong problem solver, Dedicated team player, Strong interpersonal skills, Microsoft Office proficiency, Strong clerical, management, and administrative skills, Customer service","University of New Orleans, Political Science Pre-Law, Bachelor of Arts, East Tennessee University, Paralegal, Certificate","Business Manager, HR Coordinator, Training Coordinator, Receptionist, Records Management / Document Management System Implementer, Telerecruiter, Student Administrative Assistant Vice Chancellor"
37333719,SEXUAL ASSAULT CRISIS COUNSELOR VICTIM ADVOCATE,ADVOCATE,"Active Listening, Curriculum Development, Group Facilitation, Crisis Counseling","Master of Social Work, Fordham University, Bachelor of Arts in Social Services, Quinnipiac University, Associate of Science in Human Services, Naugatuck Valley CC","Clinical Social Work Intern, Community Educator Intern, Supervisor, Social Work Intern"
15313140,DIRECT CLIENT COORDINATOR COUNSELOR VICTIM ADVOCATE,ADVOCATE,"advertising, cash registers, Coach, conferences, cost reduction, Credit, Resolve customer complaints, clients, delivery, directing, employee training, financial statements, inventory, law enforcement, marketing strategies, meetings, money, personnel, policies, processes, product-marketing, reporting, sales, staffing, trade shows, trauma","Master of Arts: Psychology, MFT & PCC Dual Emphasis, Brandman University, Bachelor of Science: Psychology, University of Utah","Sales Lead, District Manager, Salon Manager, Marketing Manager, Salon Sales and Service Representative"
13072354,DOMESTIC VIOLENCE AND SEXUAL ASSAULT ADVOCATE,ADVOCATE,"Conflict resolution, advocacy, group facilitation, program development, youth advocacy, outreach, Microsoft Office, training, counseling, customer service skills, data entry, database, editing skills, money handling, multitasking, presenting, problem solving, programming, public speaking, research, safety, secretarial, seminars, staffing, statistical analysis, strategy, supervising, phone, time management","University of New Hampshire, Bachelor of the Arts: Psychology and Justice Studies Forensics","Student Intern, Student Advocate and Assistant Outreach Coordinator, Customer Service Representative, Research Assistant, Legal Socialization Lab, Safezones Facilitator, Office of Multicultural Student Affairs, Peer Mediator, Server"
20544228,LEAD PHARMACY TECHNICIAN ADVOCATE SUPERVISOR,ADVOCATE,"streamline, budget, business development, Maintain calendar, Case Management, communication skills, customer service, data entry, documentation, filing, insurance, inventory, inventory control, leadership, managing, marketing, office equipment, Assist patients, Pharmacy Technician, profit, quality, receiving, record keeping, retail, safety, sales, scheduling, staff development, strategic planning, supervision, technician, phones, translator, written","Bellevue University, Behavior Science, Bachelors, Metro Community College, General Studies, Certification for Nebraska Pharmacy Technician","Restaurant Manager, Clinic Clerk"
30741799,COURT APPOINTED SPECIAL ADVOCATE FOR ABUSED,ADVOCATE,"Compassionate, Active listener, Experienced in working with individuals and groups, Independent, Strong communicator, Knowledge of child development, Self-Awareness, Empathy, Boundary Setting, Time-management, Emergency response training, Suicide risk assessments, Basic Cardiac Life Support (BCLS) Certified, Case management, Organization and documentation, Creating and following treatment plans, Collaborative, Culturally competent","West Chester University, Social Work, Master of Social Work, West Chester University, Psychology, Bachelor of Arts, Delaware County Community College, Psychology, Associate of Psychology","Emergency Medical Technician and Social Worker volunteer, Social work Intern, Social Worker Intern, Social Work Intern, Child Care, Hippotherapy volunteer, Research Intern, Girl Scout Leader, Foster care assistant"
17847636,CUSTOMER SERVICE AGENT,ADVOCATE,"Medical terminology, Close attention to detail, ICD-9, Adept multi-tasker, Office support, Records maintenance, Excellent verbal communication, Commercial & private insurance, Resourceful and reliable, Problem solver, Insurance and collections procedures, Composed demeanor, 10 key (11000kpm), Administrative Assistant, Billing, CPR certified, CPT, Data entry, NexGen, EHR, Dispatching, Documentation filing, Goldmine, Scanning & indexing, Lawson, Medisoft, Microsoft Excel, Typing 45wpm, Workflow Onbase, Heat, Fast Track, Allegra, Artiva","AAS: Medical Billing & Coding Reimbursement, 2016, Bryant & Stratton College, Medical Administrative Assistant Certificate of Completion: 1/2005, Admin Assistance, 2004, Everest College","File Clerk, DME Billing Specialist, BILLING DOCUMENT SPECIALIST"
80503242,MANAGER DIGITAL MARKETING AND COMMUNICATIONS OBJECTIVE,ADVOCATE,"Healthcare, Business development, Marketing and planning analysis, Website development, Data mining, Patient health management, Content Management Systems, Google Analytics, Google Adwords, Microsoft Office","DePaul University, Public Service Management, Masters of Science, University of Illinois, Biological Sciences, Bachelor of Science","Digital Marketing and Communications, Senior Web Specialist, Senior Planning Analyst, Interim Director of CRM Data Warehouse"
26456474,MDS COORDINATOR,ADVOCATE,"Time Management, Managing a team, IV management, Medicare charting, Vital Signs, Glucose testing, CPR Certified, Dressing changes, Wound care, Injections, Surgical Sterile Field, Standard first aid, G-Tube feedings, Foley care, Patient care, MDS Coding, Scheduling, CNA, Diabetic care, Phlebotomy, Quality assurance","Brown Mackie College: LPN in Nursing, Prairie State College: Phlebotomy Technician Certificate in Phlebotomy Technician, Prairie State College: Associate of Applied Science in Nursing","Staff LPN, Phlebotomist"
10818478,EXPRESS SCRIPTS,ADVOCATE,"Administrative, Cash handling, Excellent communication, Interpersonal skills, Detail-oriented merchandising, Self-motivated, 70 WPM","Camden County High School, Business/Computers, High School Diploma","Express Scripts, Prime Communication (AT&T Authorized Retailer), Radio Shack"
24124250,SENIOR APPLICATION SPECIALIST,ADVOCATE,"Staff training and development, Relationship and team building, Conflict resolution, Epic certifications, Microsoft Word, Excel, and PowerPoint","Robert Morris University, Applied Science, Associate Degree, Devry University, Healthcare Management","Revenue Cycle Trainer, Network Support Analyst, Managed Care Claims Auditor, Provider Relations Representative"
37640804,NURSE CLINICIAN II ON MEDICAL CARDIAC,ADVOCATE,"Life support, IV administration, Medication administration, Telemetry monitoring, Ventilator management, CRRT/CVVH therapy, Hypothermia therapy, TPA management, Intra-Aortic Balloon Pump management, Telemetry monitoring, Diagnostic assessments, Fluent in conversational Spanish, Proficient in Microsoft Office","Loyola University Chicago, BSN (Bachelor's of Science in Nursing)","Dancer for Chicago Luvabulls, Nursing Care Technician II on Medical/Cardiac ICU and Interventional Unit"
27182111,REGISTERED NURSE CLINICAL CARE COORDINATOR FIRST,ADVOCATE,"allergies, blood draws, budget, charts, coaching, CPR, decision making, EKGs, equipment maintenance, filling, financial, first aid, health education, hiring, immunizations, injections, instruction, inventory, inventory control, lab test, leadership, meetings, mentoring, office, Nursing, organizing, patient care, patient flow, preparing patient, Performance reviews, personnel, policies, presenting, problem solving, protocols, quality, Reporting, scheduling, Supervision, surgery, phone, triage, patient triage, urgent care, Vaccine, vital signs, wound care","University of Illinois- Chicago College of Nursing, Women's Health Nurse Practitioner/Midwifery program, Master's, Illinois State University- Mennonite College of Nursing, Nursing, Bachelor of Science, University of Hawaii, Nursing, Bachelor of Science","Clinical Supervisor / Registered Nurse, Nursing/Manager's assistant"
11174187,RN ASST HEAD NURSE PRACTICE LEADER,ADVOCATE,"Care planning, Case Management, Home Health, Hospice, Infection control, Injections, Nurse Manager, Oncology, Scheduling, Staff development, Trauma, Triage, Tutoring, Urology","RN Diploma, Illinois Masonic School of Nursing, Northeastern Illinois University, Western Illinois University","ADON (Assistant Director of Nursing) at a long term care facility, Home Health Nurse at ResCare, RN at Best Home Health, Infusion Nurse at Maxim Home Health, Director of Care Delivery (DCD) managing Dementia and Long Term Care Units, RN at general Med / Surg Unit, Assistant Head Nurse at Oncology inpatient Unit, Staff RN at Surgical / 23hr Observation Unit"
47133747,PATIENT,ADVOCATE,"accounting, approach, agency, backup, business management, call center, coaching, competitive, contracts, cost control, clientele, customer satisfaction, customer service, delivery, documentation, electronic mail, financial, food safety, inspection, leadership, team leader, managerial, market, materials, excel, microsoft outlook, word, payroll, policies, problem solving, quality control, recruitment, safety, sales, six sigma, staffing, strategic planning, supervisor, technical assistance, telephone, total quality management, translation","Kaplan University, BUSINESS MANAGEMENT, B.S","FEMA Inspector Contractor, OPERATIONS SUPERVISOR, Specialty Service Agent, Owner/ Stylist, Admission Advisor /Call Center Team leader, Call Center Team Leader, Customer Service Rep, Call Center Supervisor, Hollywood video - Store Manager"
10659182,SUBSTITUTE TEACHER,ADVOCATE,"adaptive equipment, administrative duties, appointment setting, agency, blood pressure, CNA, consultant, CPR (Certified), first aid, Home Care, team building, meal prep, Medical terminology, medication management, meetings, bathing, policies, quality, record keeping, recording, scheduling, supply inventory, teaching, phones, therapy, vision, wounds, written communication","Bachelor of Arts, Psychology /minor Social Work, GOVERNOR STATE UNIVERSITY, Associate of Science, Psychology, South Suburban College","Event Planner, Medical Assistant/Hyperbaric Chamber Technician, Home Health Aide, Health Clerk"
35344611,HR SHARED SERVICES SUPERVISOR,ADVOCATE,"administrative, benchmarking, budgets, call center, coaching, counseling, customer satisfaction, customer-service, client support, database, designing, financial, forecasting, hiring, human resources, instructor, leadership, leadership development, materials, multimedia, enterprise, payroll processing, performance management, policies, process improvement, processes, quality, recruiting, scheduling, staffing, strategy, strategic planning, trainer, employee development, employee training, training programs","Ashford University, Psychology, B.A","Operations Manager, Action Response Team Supervisor, New Hire Supervisor"
13342150,PATIENT SERVICE REPRESENTATIVE,ADVOCATE,"Maintains strict confidentiality, Knowledge of HMOs, Medicare and Medi-Cal, Medical Manager Software, Electronic Medical Record (EMR) software, HIPAA compliance, Patient-focused care, Strong work ethic, Team player with positive attitude, Proven patience and self-discipline, Personal and professional integrity, Relationship and team building, Staff training and development, Effectively influences others, Critical thinking proficiency, Cultural awareness and sensitivity, Proficient in Windows, Word, Excel, Access, PowerPoint, Efficient in registration of patients, Knowledge of Medical Terminology and Health Care related Training, Capable of managing multiple tasks, Ability to quickly assess and prioritize projects, Proficient at evaluating problems, Handles cash and receipts, Excellent interpersonal skills, Compassionate and trustworthy caregiver, Time management, Detail-oriented, Charting and record keeping","Harrington College of Design, Bachelors of Arts","Human Resource Assistant, Supervisor/Call Center Supervisor, Salon Manager/Receptionist, Customer Service Sales Associate"
28111403,PRESIDENT CHIEF EXECUTIVE OFFICER EXECUTIVE,ADVOCATE,"Leadership/communication skills, Project Management, Regulatory Affairs, Budgeting expertise, Employee relations, Human resources, Market research and analysis, Staff Development, Operations, Proposals, Coaching, Teaching, Quality Control, Corrective Action, Strategic Planning, Finance","B.A., Psychology, Bethany College, M.S., Human Services Management, Franklin University","Executive Director (Ohio), Assistant Director, Child Welfare Caseworker, Program Worker, Youth Leader"
34327438,CONSULTANT ACCOMPLISHMENTS WORKED WITH TEACH FOR,ADVOCATE,"business operations, C, contracts, Credit, clients, documentation, Drafting, Finance, financing, financial, funds, insurance, Law, legal, legal Research, letters, Managing, marketing, meetings, Mergers and Acquisitions, Exchange, office, procurement, research, sales, Securities, Tax, team management","Asian School of Cyber, Post Graduation Diploma, Cyber Laws, ILS Law College, Diploma, Human Rights and Law, Pune University, BSL LLB","Senior Executive Compliance, LAKSHMIKUMARAN & SRIDHARAN, Mumbai, KHAITAN AND PARTNERS, Kolkata, VAISH ASSOCIATES, Gurgaon"
15958967,FACULTY CLINICAL INSTRUCTOR CLINICAL COORDINATOR,ADVOCATE,"Clinical instruction, Leadership, Pediatric primary care, Chronic disease management, Sports medicine, Nutrition, Pediatric cardiology, Mental wellness, Health education, Program management, Curriculum design, Medical writing, Project management, Research, Data analysis, Public health, Cultural diversity awareness, Emergency planning","Doctorate in Nursing Practice, Pediatric Primary Care, Rush University, Associate of Applied Science, Nursing, Richard J. Daley College, Bachelor of Science, Nutrition, Northern Illinois University","Clinical Instructor, & Clinical Coordinator, School Nurse, Clinical Specialist, Nurse Clinician II (RN)"
13115648,ADMISSIONS EXECUTIVE,ADVOCATE,"Client Relations, Creative Problem Solving, Customer Service, Academic Advisement, Team Leader, Effective Communicator, Project Management, Relationship Builder, Professional Attitude, Marketing, Multi-Task Management, Microsoft Office, Training and development, Marketing and sales specialist, Group behavior and dynamics, Charismatic public speaker, Community resources specialist, Motivated team player, Natural leader, Organized and efficient","Bachelor of Science: Sociology, University of West Georgia, Associate of Arts: Technical Communications, West Central Technical College","Customer Service Specialist, Community Outreach Coordinator Intern, Child Advocate for Foster Children"
46772262,PRACTICUM,ADVOCATE,"navigate computers, communicate effectively, value teamwork, respect all members of the healthcare team, build strong relationships, listen intently, clarify uncertainties, educate thoroughly, practice confidently, formulate differentials, build a suitable plan of care","University of St. Francis, Nursing, Master of Science, University of St Francis, Nursing, Bachelor of Science, Richland Community College, Nursing, Associate of Applied Science, Richland Community College, Nursing, Practical Nurse","Registered Nurse Clinician II, Staff Nurse, Staff Nurse"
38059130,HUMAN RESOURCES MANAGER,ADVOCATE,"Human Resources, Training, Employee Relations, Recruitment, Organizational Development, Payroll, Purchasing, Equal Employment Opportunity, Recruiting, Staffing, Project Management, Labor Law, Strategic Planning, Benefits, Budget, Employee Engagement, Employment Law, Labor Laws, Microsoft Office, PowerPoint, Word, Human Resource Management","Keller Graduate School of Management - Human Resource Management, Alcorn State University - Business Administration","Senior Human Resources Representative, Area Manager - Partner, Management Selection Consultant - Organizational Development, Regional Recruitment Manager, Client Service Manager - Branch Manager, Store Manager"
24695561,VICE PRESIDENT EXECUTIVE,ADVOCATE,"Balance, Benchmarking, BTS, budget, Contracts, Council, Counseling, customer satisfaction, databases, database, delivery, Facilities Management, help desk, imaging, information systems, Leadership, Managing, Mental Health, Access, 2000, procurement, Speaking, Publications, quality, Sculpture, Strategy, Strategic, Supervisor, telecommunications, phones, VOIP, Y2K","Missouri Institute of Technology, Electronic Engineering Technology, Bachelor of Science","Corporate Director, Operations Manager, Team Manager and Regional Manager"
93512385,LANDSCAPER ACCOMPLISHMENTS FMC LEVEL I CERTIFICATION,ADVOCATE,"insurance, managing, office","Miami University, Finance Economics, BSBA, Chaminade Julienne Catholic High School","Delivery Driver, Intern, Pro Shop Crew Member"
38698573,HUMAN RESOURCES PROFESSIONAL,ADVOCATE,"Networking and Partnership Development, Decision Making, Report Preparation, Human Resources Management Systems, Procedure Compliance, In-Person and Telephone Interviewing, Employment Data Tracking, New Hire Onboarding & Orientation, Termination Documentation, Conflict Resolution, Documentation and Recordkeeping, Willingness to Learn, Remote Conferencing and Communication, Microsoft Office, Employee and Applicant Assessment","Business Administration, Miami Dade College, High School Diploma, Mater Academy Charter High School","Onsite Supervisor, Negotiator"
18090899,SENIOR ADVISOR AND NATIONAL FUNDRAISING DIRECTOR,ADVOCATE,"Excel and Google Sheets, Familiarity with multiple CRM, Databases, Budgets, Budget, Business Development, Business strategy, CRM, Databases, Direct mail, Fundraising, Legal, Litigation, Marketing, Marketing and Communications, Excel, Money, Organizational, Problem Solver, Project Management, Sales, Spanish, Spanish Language, Strategy, Website, Workflow","Emory University, Bachelor of Arts: US History, University of Pittsburgh, Certificate in Gender and Sexuality Diversity and Inclusion in the Workplace, Universidad De Salamanca, Certificate in Spanish Language","Campaign and Fundraising Special Projects Advisor, Campaign Chief of Staff and Fundraising Director, Fundraising Director, Deputy Fundraising Director, Office of House Minority Leader Steny Hoyer, Litigation Legal Assistant, Legislative Intern"
23804341,ADMINISTRATION ASSISTANT,ADVOCATE,"Scheduling, Office administration, Administrative support, Budgeting, Appointment setting, Recordkeeping, Documentation and control, Document retrieval, Spanish skills, Medical office administration, Insurance claims, Completing insurance forms, Appointment scheduling, Billing and coding, Customer service","Associate of Arts: Business Administration, American International University, Some College (No Degree): Certified Nursing Assisting, Resurrection Hospital, Some College (No Degree): Certified Medical Assistant, Bryant School","Office Assistant, Certified Medical Assistant"
29177904,ADMINISTRATIVE ASSISTANT,ADVOCATE,"Microsoft Outlook, Word, Excel, Power Point, Adobe Pro, SharePoint, Decision making, Screening, Interviewing, Multi-Tasking, Presentations, Project Management, Newsletter, Expense reports","Indiana Wesleyan University, Management Human Resources, Master of Science, Olivet Nazarene University, Management Human Resources, Bachelor of Science","Administrative Assistant II, EA/Project Manager, EA/Supervising Corporate Assistant, EA/Corporate Assistant, Executive Assistant"
17911230,CORPORATE FACILITATOR PERFORMANCE COACH AND DEVELOPER,ADVOCATE,"Active participation, Classroom management, Interactive teaching, Public speaking, Active listening, Positive atmosphere promotion, Innovative lesson planning, Performance assessments","Bachelor of Science : Business Administration/Information Technology, Robert Morris University","Performance Coach and Developer, Health Coach and Corporate Health Educator, Certified Wellness Program Manager, Health Coach and Corporate Health Educator, Manager of Retail Systems, Project Manager and Trainer"
19926135,INTERN,ADVOCATE,"Client Negotiation and Mediation, Client Relationship Management, Problem Identification and Solution Development, Oral and Written Communication, Interpersonal Skills, Customer/Client Focus, Complex Problem Solving, Proven Patience and Self-Discipline, Motivation Techniques, Public Speaking, Conflict Resolution, Government Relations, Patient-Oriented, Personal and Professional Integrity, Relationship and Team Building, Cultural Awareness and Sensitivity, Critical Thinking","Prairie State Jr. College, Associate of Arts: Psychology, Governor's State University, Bachelor of Health Administration: Health Administration, Governor's State University, Associate of Arts: Nursing Home Administration","Real Estate Broker, Personal Care Attendant, Mortgage Consultant"
44115326,LEVEL 2 CRITICAL PLATFORM SUPPORT ENGINEER,ADVOCATE,"AIX, Security, Linux, HACMP, Veritas, Websphere, Maintenance, Network File System, NFS, Oracle, Unix, Systems Administration, DNS, Veritas Volume Manager, File Systems, Tivoli, Apache, Engineer, Tomcat, System Administration, Disaster Recovery, SAN, Tivoli Storage Manager, TCP, DB2, TIBCO, EMC VMAX, Testing, Vmax, Cluster Server, Operations, Red Hat, Solaris, Veritas Cluster Server, Change Management, VMware, Documentation, Ethernet, Performance Tuning, Pseries, SSL, Application Server, Bash, Bourne Shell, Firewall, Korn, Nmap, RS/6000, Shell Scripts, Snort, TCP/IP, Access Control, Amazon EC2, Amazon S3, AWS, Databases, Internet Information Services, LAN, Middleware, SQL Server, Replication, VPN, Web Server, Web Services, Weblogic, AWK, Cisco, Clariion, Cloning, Data Recovery, EMC Clariion, Internet Protocol Security, Java, JBOSS, KSH, Legato, Net Backup, Perl, Production Environment, Recovery Planning, Router, SED, Systems Security, Terminal Server, Unix/AIX, Veritas Net Backup, Virtual Machine, Virtualization, XML, Change Control, Data Archiving, DMX, Firmware, HP-UX, Migrations, Resource Utilization, Storage Management, Trouble Tickets, UX, Accounts And, Clustering, Database, EMC SRDF, NetApp, NetBackup, NetCool, Peregrine, Security Administration, DHCP, FTP, Network Storage, ODM, SCSI, Secure File Transfer Protocol, Solutions, System Installation, Active Directory, Capacity Planning, Job Scheduling, Logging, Microsoft Sharepoint, Nagios, Network Administration, Scripting, Sharepoint, Single Sign On, SSO, Team Player, Technical Documentation, Teradata, Windows 2000, Writing Technical",B.S: Computer Science,"Terradata Multi System Manager, AIX/HP-UX Administrator, AIX/Linux Administrator, UNIX/AIX Linux System Engineer"
75435017,CHARGE NURSE,ADVOCATE,"Process evaluation, Patient Care Planning, Medical Record Auditing, Detail oriented, Critical thinking, Strong work ethic, Strong assessment skills, Adaptability, Collaboration, CPI trained, CPR","Associate of Applied Science: Nursing, Olive Harvey College, High School Diploma, Lincoln Park High School","Intake Nurse, Staff Nurse"
19234823,FINANCE DIRECTOR,ADVOCATE,"Budgeting and financial management, Financial reporting and analysis, QuickBooks, Complex problem solving, Highly detail-oriented, Superior time management, Exceptionally organized, Advanced computer proficiency (PC and Mac), Exceptional interpersonal communication, Effective leader, Staff training/development, Consistently meet goals, Efficient multi-tasker, Customer service-oriented, Deadline-oriented, Budget development, Expertise in invoice and payment transactions, Account reconciliation","North Carolina Central University, Finance, Bachelor of Business Administration","Office Administration Department Manager, Accounts Receivable Coordinator, Business Manager, Operations / Graphics Coordinator, Office Administrator Department Manager"
13809698,PHLEBOTOMIST,ADVOCATE,"Phlebotomy knowledge, HIPPA compliance, Data and statistical analysis, Blood bank background, CLIA & OSHA compliance, Sharp critical thinker, Manual dexterity, Lab testing and reporting, Lab equipment maintenance","American InterContinental University, Healthcare Administration Management, MBA","Phlebotomist, Phlebotomist/mobile, Phlebotomist Specialist, Administrative Assistant, Donor Collection Assistant"
