antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'BounceRates_Bin_Low', 'PageValues_Bin_High'})",frozenset({'Revenue_Label_Revenue_Yes'}),0.12101597705858255,0.15632937320770177,0.08176976648914379,0.6756939742721733,4.322245784062828,1.0,0.06285141464745797,2.6014645423219713,0.8744627584774323,0.4180980310012568,0.6156011416909658,0.5993773854589377
"frozenset({'ExitRates_Bin_Low', 'Weekend_Label_Weekday', 'BounceRates_Bin_Low', 'PageValues_Bin_High'})",frozenset({'Revenue_Label_Revenue_Yes'}),0.08127816468660386,0.15632937320770177,0.05456780008193363,0.6713709677419354,4.294592589774801,1.0,0.04186163554100449,2.5672431342882196,0.8350177520783068,0.2981199641897941,0.6104770963669341,0.5102137857577601
"frozenset({'Weekend_Label_Weekday', 'BounceRates_Bin_Low', 'PageValues_Bin_High'})",frozenset({'Revenue_Label_Revenue_Yes'}),0.09111020073740271,0.15632937320770177,0.0605489553461696,0.664568345323741,4.2510779112559005,1.0,0.04630575477206355,2.515178919552374,0.8414282398035455,0.32398071021481806,0.6024139705425132,0.5259424535843024
"frozenset({'ProductRelated_Duration_Bin_Long', 'Revenue_Label_Revenue_Yes'})","frozenset({'ExitRates_Bin_Low', 'PageValues_Bin_High'})",0.07857435477263416,0.16558787382220402,0.05456780008193363,0.694473409801877,4.193987118570959,1.0,0.04155683973818159,2.731062215032445,0.8265055469839393,0.2878133102852204,0.6338421019866367,0.5120066207841646
frozenset({'Revenue_Label_Revenue_Yes'}),"frozenset({'ExitRates_Bin_Low', 'PageValues_Bin_High'})",0.15632937320770177,0.16558787382220402,0.1014338385907415,0.6488469601677148,3.9184449029425825,1.0,0.07554759006532033,2.376206472757066,0.8828050832127493,0.46005202526941663,0.57916114972967,0.6307074978968212
"frozenset({'ExitRates_Bin_Low', 'PageValues_Bin_High'})",frozenset({'Revenue_Label_Revenue_Yes'}),0.16558787382220402,0.15632937320770177,0.1014338385907415,0.6125680356259277,3.918444902942582,1.0,0.07554759006532033,2.1775968540833133,0.892600544171414,0.46005202526941663,0.5407781756642174,0.6307074978968212
"frozenset({'Revenue_Label_Revenue_Yes', 'ExitRates_Bin_Low', 'Weekend_Label_Weekday', 'BounceRates_Bin_Low'})",frozenset({'PageValues_Bin_High'}),0.062269561655059404,0.2236788201556739,0.05456780008193363,0.8763157894736842,3.9177414690572587,1.0,0.04063941799931896,6.276639326400932,0.7942057391598677,0.2358356940509915,0.8406790723510623,0.5601359167148641
"frozenset({'ExitRates_Bin_Low', 'Revenue_Label_Revenue_Yes', 'BounceRates_Bin_Low'})",frozenset({'PageValues_Bin_High'}),0.08430970913560017,0.2236788201556739,0.07382220401474805,0.8756073858114674,3.91457441165896,1.0,0.054963907747628965,6.240894484842274,0.8130963011749452,0.31525542337298806,0.8397665587154575,0.6028220079240487
"frozenset({'ProductRelated_Duration_Bin_Medium', 'Revenue_Label_Revenue_Yes'})",frozenset({'PageValues_Bin_High'}),0.05866448176976649,0.2236788201556739,0.05096272019664072,0.8687150837988826,3.883761024822477,1.0,0.037840718129335316,5.913254944346141,0.7887916835871808,0.22025495750708216,0.8308884008195633,0.5482769558188553
"frozenset({'ExitRates_Bin_Low', 'Weekend_Label_Weekday', 'PageValues_Bin_High'})",frozenset({'Revenue_Label_Revenue_Yes'}),0.12199918066366243,0.15632937320770177,0.07382220401474805,0.6051040967092008,3.8706999477650923,1.0,0.054750148569744535,2.1364380328124697,0.8447017104714226,0.3609775641025641,0.5319311935841309,0.5386631594657115
"frozenset({'Weekend_Label_Weekday', 'Revenue_Label_Revenue_Yes'})","frozenset({'ExitRates_Bin_Low', 'PageValues_Bin_High'})",0.11544448996312986,0.16558787382220402,0.07382220401474805,0.6394606103619588,3.861759895827663,1.0,0.0547059963772646,2.3143438696545555,0.8377661969595349,0.35626729932779744,0.5679120924457686,0.5426397559479265
"frozenset({'Revenue_Label_Revenue_Yes', 'ExitRates_Bin_Low', 'BounceRates_Bin_Low'})","frozenset({'Weekend_Label_Weekday', 'PageValues_Bin_High'})",0.08430970913560017,0.1677181482998771,0.05456780008193363,0.6472303206997084,3.859035693277939,1.0,0.04042753178200954,2.3592783068854724,0.8090813164632064,0.2763485477178423,0.5761415696140915,0.48629224877193533
"frozenset({'ExitRates_Bin_Low', 'Revenue_Label_Revenue_Yes'})",frozenset({'PageValues_Bin_High'}),0.11823023351085621,0.2236788201556739,0.1014338385907415,0.8579348579348579,3.8355659124889896,1.0,0.07498823945230336,5.464543719587134,0.8384073802426356,0.4218057921635434,0.8170021046010492,0.6557073557073557
"frozenset({'ExitRates_Bin_Low', 'Weekend_Label_Weekday', 'Revenue_Label_Revenue_Yes'})",frozenset({'PageValues_Bin_High'}),0.08635804997951659,0.2236788201556739,0.07382220401474805,0.8548387096774194,3.8217239749497818,1.0,0.05450573728438507,5.347990350038692,0.8081261854846761,0.31252167880679843,0.8130138735211507,0.5924376698570247
"frozenset({'ProductRelated_Duration_Bin_Long', 'ExitRates_Bin_Low', 'Revenue_Label_Revenue_Yes'})",frozenset({'PageValues_Bin_High'}),0.06390823433019255,0.2236788201556739,0.05456780008193363,0.8538461538461538,3.817286559594252,1.0,0.04027288162872383,5.311671230513809,0.7884203678514401,0.23417721518987344,0.8117353359042013,0.548901098901099
"frozenset({'ExitRates_Bin_Low', 'ProductRelated_Bin_High', 'Revenue_Label_Revenue_Yes'})",frozenset({'PageValues_Bin_High'}),0.06439983613273248,0.2236788201556739,0.05464973371569029,0.8486005089058525,3.793834875895945,1.0,0.040244854351301956,5.127634011408745,0.7871038208892752,0.23411723411723417,0.8049782808650058,0.5464614266140984
"frozenset({'Weekend_Label_Weekday', 'Revenue_Label_Revenue_Yes', 'BounceRates_Bin_Low'})",frozenset({'PageValues_Bin_High'}),0.07136419500204834,0.2236788201556739,0.0605489553461696,0.8484500574052813,3.7931622529785565,1.0,0.04458629640675199,5.122543542760669,0.7929564200593471,0.2582110412299092,0.8047844802777265,0.5595730140506261
"frozenset({'ExitRates_Bin_High', 'ProductRelated_Bin_High'})","frozenset({'ProductRelated_Duration_Bin_Long', 'BounceRates_Bin_High', 'Revenue_Label_Revenue_No'})",0.09963129864809504,0.16058992216304793,0.060467021712412944,0.606907894736842,3.779240232277121,1.0,0.04446723921751198,2.1354030432002795,0.8167726731412368,0.302707136997539,0.5317043294546762,0.49171925349087
"frozenset({'Revenue_Label_Revenue_Yes', 'BounceRates_Bin_Low'})",frozenset({'PageValues_Bin_High'}),0.09733715690290864,0.2236788201556739,0.08176976648914379,0.84006734006734,3.755685672352339,1.0,0.059997506075793475,4.85405032450031,0.8128583571790946,0.34178082191780823,0.7939864786830485,0.6028175528175528
"frozenset({'ExitRates_Bin_Low', 'Revenue_Label_Revenue_Yes'})","frozenset({'Weekend_Label_Weekday', 'PageValues_Bin_High'})",0.11823023351085621,0.1677181482998771,0.07382220401474805,0.6243936243936243,3.7228745411451807,1.0,0.05399284817724517,2.2158352619986665,0.829457285994768,0.3480108149864812,0.5487029125540643,0.5322749753624203
"frozenset({'Revenue_Label_Revenue_Yes', 'BounceRates_Bin_Low'})","frozenset({'Weekend_Label_Weekday', 'PageValues_Bin_High'})",0.09733715690290864,0.1677181482998771,0.0605489553461696,0.6220538720538721,3.708924039285544,1.0,0.04422374762963917,2.202117683340192,0.8091393507610272,0.29607371794871795,0.545891662573096,0.4915349966033894
"frozenset({'ProductRelated_Bin_High', 'Revenue_Label_Revenue_Yes'})",frozenset({'PageValues_Bin_High'}),0.07628021302744777,0.2236788201556739,0.062843097091356,0.8238453276047262,3.6831619865991514,1.0,0.04578082904015303,4.40704279533578,0.7886527573568104,0.2650310988251555,0.7730904721283043,0.5523988542785536
"frozenset({'ProductRelated_Duration_Bin_Long', 'Revenue_Label_Revenue_Yes'})",frozenset({'PageValues_Bin_High'}),0.07857435477263416,0.2236788201556739,0.0645637034002458,0.821689259645464,3.6735228622611316,1.0,0.04698828443020964,4.35375445304508,0.7898431568675066,0.27163047225094794,0.7703131835327587,0.5551669741450763
"frozenset({'ProductRelated_Bin_Low', 'ExitRates_Bin_Low', 'Revenue_Label_Revenue_No'})","frozenset({'PageValues_Bin_Low', 'BounceRates_Bin_Low', 'ProductRelated_Duration_Bin_Short'})",0.08226136829168373,0.17009422367882016,0.05120852109791069,0.6225099601593626,3.659794828393555,1.0,0.037216337519579236,2.198483903499907,0.7919037228818856,0.2545824847250509,0.5451410863604521,0.46178484520492213
"frozenset({'ProductRelated_Bin_Low', 'ExitRates_Bin_Low', 'PageValues_Bin_Low'})","frozenset({'Revenue_Label_Revenue_No', 'BounceRates_Bin_Low', 'ProductRelated_Duration_Bin_Short'})",0.08455551003687013,0.16616140925850062,0.05120852109791069,0.6056201550387598,3.6447702131400703,1.0,0.03715865838961306,2.114303257113581,0.7926578716548823,0.25667351129363447,0.5270309513852867,0.45690277968900517
"frozenset({'Weekend_Label_Weekday', 'Revenue_Label_Revenue_Yes'})",frozenset({'PageValues_Bin_High'}),0.11544448996312986,0.2236788201556739,0.09340434248258911,0.8090844570617459,3.617170622138685,1.0,0.06758185517416268,4.066306849073069,0.8179710809071585,0.38012670890296774,0.7540766014183229,0.6133334373220818
"frozenset({'ProductRelated_Bin_High', 'BounceRates_Bin_Low', 'PageValues_Bin_High'})","frozenset({'ProductRelated_Duration_Bin_Long', 'ExitRates_Bin_Low'})",0.06300696435886932,0.22056534207292094,0.05022531749283081,0.7971391417425228,3.61407252041883,1.0,0.036328164846040456,3.8422131534995114,0.7719415291968865,0.21523876404494383,0.7397333359578988,0.5124254401134605
"frozenset({'ProductRelated_Duration_Bin_Long', 'ProductRelated_Bin_High', 'Revenue_Label_Revenue_Yes'})",frozenset({'PageValues_Bin_High'}),0.06349856616140925,0.2236788201556739,0.05120852109791069,0.8064516129032259,3.605399976367719,1.0,0.03700523673734967,4.010992762529019,0.7716360454943132,0.21701388888888892,0.7506851646948678,0.5176946709204774
frozenset({'Revenue_Label_Revenue_Yes'}),frozenset({'PageValues_Bin_High'}),0.15632937320770177,0.2236788201556739,0.12601392871773864,0.8060796645702306,3.60373710845409,1.0,0.0910463589629639,4.003299489575606,0.8563890425746741,0.4961290322580646,0.750206048135057,0.684724813970097
"frozenset({'ExitRates_Bin_Low', 'PageValues_Bin_Low', 'ProductRelated_Duration_Bin_Short'})","frozenset({'ProductRelated_Bin_Low', 'BounceRates_Bin_Low', 'Revenue_Label_Revenue_No'})",0.07931175747644408,0.18279393691110202,0.05120852109791069,0.6456611570247934,3.532180377179562,1.0,0.036710812705452955,2.3062841663849953,0.7786444068701612,0.2428127428127428,0.5664020875764592,0.46290229523135684
"frozenset({'ExitRates_Bin_High', 'ProductRelated_Bin_High'})","frozenset({'ProductRelated_Duration_Bin_Long', 'BounceRates_Bin_High'})",0.09963129864809504,0.1975419909873003,0.06947972142564522,0.6973684210526315,3.530228776004715,1.0,0.0497983563260502,2.6516003776071813,0.7960430413260602,0.3051457358762144,0.6228692647485571,0.5245448492654281
"frozenset({'ExitRates_Bin_Low', 'ProductRelated_Duration_Bin_Short', 'Revenue_Label_Revenue_No'})","frozenset({'ProductRelated_Bin_Low', 'PageValues_Bin_Low', 'BounceRates_Bin_Low'})",0.07767308480131094,0.18721835313396148,0.05120852109791069,0.6592827004219409,3.5214640519255096,1.0,0.03666669407857473,2.3855015517925837,0.7763269077018745,0.23964723926380369,0.5808009434122771,0.4664028381759595
"frozenset({'ExitRates_Bin_High', 'ProductRelated_Bin_High', 'Weekend_Label_Weekday'})","frozenset({'ProductRelated_Duration_Bin_Long', 'BounceRates_Bin_High'})",0.07578861122490782,0.1975419909873003,0.05243752560426055,0.6918918918918919,3.50250540876837,1.0,0.0374660924487298,2.604468976620166,0.7730808122783688,0.2373887240356083,0.6160445722422443,0.4786709563150874
"frozenset({'ProductRelated_Bin_Low', 'ExitRates_Bin_Low', 'PageValues_Bin_Low'})","frozenset({'BounceRates_Bin_Low', 'ProductRelated_Duration_Bin_Short'})",0.08455551003687013,0.1803359278984023,0.053338795575583776,0.6308139534883721,3.4979937766131672,1.0,0.03809039921416213,2.22019244726732,0.7800820856401273,0.25213013168086756,0.5495885947946403,0.46329430068784805
"frozenset({'ProductRelated_Bin_Low', 'ExitRates_Bin_Low', 'Revenue_Label_Revenue_No'})","frozenset({'BounceRates_Bin_Low', 'ProductRelated_Duration_Bin_Short'})",0.08226136829168373,0.1803359278984023,0.05178205653420729,0.6294820717131474,3.4906082168373302,1.0,0.0369473763531343,2.2122116354570003,0.7774729652302744,0.24562767197823548,0.5479636830526753,0.45831213990019026
"frozenset({'ExitRates_Bin_High', 'ProductRelated_Bin_High', 'Revenue_Label_Revenue_No'})","frozenset({'ProductRelated_Duration_Bin_Long', 'BounceRates_Bin_High'})",0.08775092175337976,0.1975419909873003,0.060467021712412944,0.6890756302521008,3.4882488872778477,1.0,0.04313252991827951,2.5808784614192235,0.781939083536695,0.2689504373177843,0.6125350283057883,0.49758634270796664
"frozenset({'ProductRelated_Bin_Low', 'ExitRates_Bin_Low', 'PageValues_Bin_Low', 'Revenue_Label_Revenue_No'})","frozenset({'BounceRates_Bin_Low', 'ProductRelated_Duration_Bin_Short'})",0.08152396558787382,0.1803359278984023,0.05120852109791069,0.628140703517588,3.483170052899664,1.0,0.03650682111766405,2.204231761462405,0.7761826940231935,0.24309607156748345,0.5463271977641104,0.45605126952344643
"frozenset({'ProductRelated_Duration_Bin_Long', 'BounceRates_Bin_Low', 'PageValues_Bin_High'})","frozenset({'ExitRates_Bin_Low', 'ProductRelated_Bin_High'})",0.06382630069643588,0.23203605079885292,0.05022531749283081,0.7869062901155328,3.391310476998615,1.0,0.03541531474212975,3.6038790146246615,0.7532028923473524,0.20446964643095397,0.7225212067491815,0.50168054618771
"frozenset({'ProductRelated_Bin_Low', 'BounceRates_Bin_High', 'PageValues_Bin_Low', 'Weekend_Label_Weekday'})","frozenset({'ExitRates_Bin_High', 'ProductRelated_Duration_Bin_Short', 'Revenue_Label_Revenue_No'})",0.11773863170831626,0.23654240065546908,0.09422367882015567,0.8002783576896312,3.3832342762736225,1.0,0.0663735002259804,3.822608258738993,0.7984310194457005,0.3623188405797101,0.7383985142307307,0.5993078660633816
"frozenset({'ProductRelated_Bin_Low', 'PageValues_Bin_Low', 'BounceRates_Bin_High'})","frozenset({'ExitRates_Bin_High', 'Weekend_Label_Weekday', 'ProductRelated_Duration_Bin_Short', 'Revenue_Label_Revenue_No'})",0.14838181073330603,0.18861122490782467,0.09422367882015567,0.635008282716731,3.36675764142385,1.0,0.06623720374370581,2.2230333913644924,0.8254618467175878,0.38812014849814375,0.5501642018133598,0.5672869389256983
"frozenset({'ProductRelated_Bin_Low', 'ExitRates_Bin_Low'})","frozenset({'BounceRates_Bin_Low', 'ProductRelated_Duration_Bin_Short'})",0.09594428512904547,0.1803359278984023,0.05800901269971323,0.6046114432109309,3.3526954404313543,1.0,0.040706811014417935,2.0730596726370867,0.7762049556122883,0.26576576576576577,0.5176212179517604,0.4631417052492637
"frozenset({'ProductRelated_Bin_Low', 'PageValues_Bin_Low', 'BounceRates_Bin_High'})","frozenset({'ExitRates_Bin_High', 'ProductRelated_Duration_Bin_Short', 'Revenue_Label_Revenue_No'})",0.14838181073330603,0.23654240065546908,0.11741089717328963,0.7912755383765875,3.345174210559837,1.0,0.08231230744882798,3.6577293979178447,0.8232115232082065,0.43889739663093413,0.7266063474872558,0.6438192724789068
"frozenset({'ProductRelated_Bin_Low', 'BounceRates_Bin_High', 'Weekend_Label_Weekday', 'Revenue_Label_Revenue_No'})","frozenset({'ExitRates_Bin_High', 'PageValues_Bin_Low', 'ProductRelated_Duration_Bin_Short'})",0.11732896353953298,0.24063908234330192,0.09422367882015567,0.8030726256983239,3.3372493689642644,1.0,0.06598974470171173,3.8560455109375575,0.7934462565431293,0.35725380552966757,0.7406669612265908,0.5973143176159308
"frozenset({'ProductRelated_Bin_Low', 'BounceRates_Bin_High', 'Revenue_Label_Revenue_No'})","frozenset({'ExitRates_Bin_High', 'PageValues_Bin_Low', 'Weekend_Label_Weekday', 'ProductRelated_Duration_Bin_Short'})",0.1476444080294961,0.19139696845555101,0.09422367882015567,0.6381798002219756,3.3343255401152447,1.0,0.0659649867138957,2.2348200350354253,0.8213582202458319,0.38487282463186073,0.5525366766348376,0.5652371603849604
"frozenset({'ProductRelated_Bin_Low', 'BounceRates_Bin_High', 'Revenue_Label_Revenue_No'})","frozenset({'ExitRates_Bin_High', 'PageValues_Bin_Low', 'ProductRelated_Duration_Bin_Short'})",0.1476444080294961,0.24063908234330192,0.11741089717328963,0.795227524972253,3.3046482609078476,1.0,0.08188188231195165,3.7083153756568286,0.8181983443366321,0.4334543254688445,0.7303357727974048,0.6415701805998479
"frozenset({'Weekend_Label_Weekday', 'ProductRelated_Bin_Low', 'PageValues_Bin_Low', 'BounceRates_Bin_High', 'Revenue_Label_Revenue_No'})","frozenset({'ExitRates_Bin_High', 'ProductRelated_Duration_Bin_Short'})",0.11560835723064318,0.2467841048750512,0.09422367882015567,0.815024805102764,3.302582253080755,1.0,0.06569337386491624,4.071983249123765,0.7883460215417583,0.3513596089214787,0.7544194219818595,0.5984154570002531
"frozenset({'ProductRelated_Bin_Low', 'BounceRates_Bin_High', 'PageValues_Bin_Low', 'Weekend_Label_Weekday'})","frozenset({'ExitRates_Bin_High', 'ProductRelated_Duration_Bin_Short'})",0.11773863170831626,0.2467841048750512,0.09594428512904547,0.8148921363952679,3.302044662916416,1.0,0.06688826229369532,4.06906481689681,0.7901936566326135,0.35723001830384377,0.7542432856199549,0.6018351784233975
"frozenset({'ExitRates_Bin_Low', 'PageValues_Bin_Low', 'ProductRelated_Duration_Bin_Short'})","frozenset({'ProductRelated_Bin_Low', 'BounceRates_Bin_Low'})",0.07931175747644408,0.20376894715280622,0.053338795575583776,0.6725206611570248,3.300407989313023,1.0,0.03717752225777006,2.4313932465491597,0.7570501335080907,0.2321683309557775,0.5887131785780497,0.4671409095893688
"frozenset({'ProductRelated_Bin_Low', 'BounceRates_Bin_High', 'Weekend_Label_Weekday'})","frozenset({'ExitRates_Bin_High', 'ProductRelated_Duration_Bin_Short', 'Revenue_Label_Revenue_No'})",0.12191724702990578,0.23654240065546908,0.09496108152396558,0.7788978494623655,3.292846641041971,1.0,0.06612248323020581,3.4529632456676644,0.7929906304667989,0.36038557213930345,0.7103936738235856,0.5901763234149375
"frozenset({'ExitRates_Bin_Low', 'ProductRelated_Duration_Bin_Short'})","frozenset({'ProductRelated_Bin_Low', 'PageValues_Bin_Low', 'BounceRates_Bin_Low'})",0.0865219172470299,0.18721835313396148,0.053338795575583776,0.6164772727272727,3.292824995026855,1.0,0.03714030471860194,2.1192528866433,0.7622617473493728,0.24200743494423796,0.5281355961326979,0.45068940222796894
"frozenset({'ProductRelated_Bin_Low', 'PageValues_Bin_Low', 'BounceRates_Bin_High', 'Revenue_Label_Revenue_No'})","frozenset({'ExitRates_Bin_High', 'Weekend_Label_Weekday', 'ProductRelated_Duration_Bin_Short'})",0.1455960671855797,0.1965587873822204,0.09422367882015567,0.647158131682611,3.292440599077227,1.0,0.06560549240653783,2.2770574718050938,0.8149236170177282,0.38003965631196296,0.5608367323257463,0.5632622671751946
"frozenset({'ProductRelated_Bin_Low', 'BounceRates_Bin_High', 'Weekend_Label_Weekday'})","frozenset({'ExitRates_Bin_High', 'PageValues_Bin_Low', 'ProductRelated_Duration_Bin_Short', 'Revenue_Label_Revenue_No'})",0.12191724702990578,0.23482179434657927,0.09422367882015567,0.7728494623655914,3.2912169184131344,1.0,0.06559485211079803,3.368595177551154,0.7928193727154339,0.35892634207240953,0.7031403456657076,0.5870527842183854
"frozenset({'ExitRates_Bin_Low', 'ProductRelated_Duration_Bin_Short'})","frozenset({'ProductRelated_Bin_Low', 'BounceRates_Bin_Low'})",0.0865219172470299,0.20376894715280622,0.05800901269971323,0.6704545454545455,3.2902684870417085,1.0,0.040378532716643725,2.4161494017432092,0.7620034327012685,0.24973544973544978,0.5861183090422647,0.47756744160543924
"frozenset({'ProductRelated_Bin_Low', 'PageValues_Bin_Low', 'BounceRates_Bin_High'})","frozenset({'ExitRates_Bin_High', 'Weekend_Label_Weekday', 'ProductRelated_Duration_Bin_Short'})",0.14838181073330603,0.1965587873822204,0.09594428512904547,0.646604086140254,3.2896218721724884,1.0,0.0667785363417287,2.273487556329373,0.8172837347697967,0.3853241197762421,0.5601471416828269,0.567362068080548
"frozenset({'ProductRelated_Bin_Low', 'BounceRates_Bin_High'})","frozenset({'ExitRates_Bin_High', 'Weekend_Label_Weekday', 'ProductRelated_Duration_Bin_Short', 'Revenue_Label_Revenue_No'})",0.15313396149119213,0.18861122490782467,0.09496108152396558,0.6201177100053504,3.2878091444897053,1.0,0.06607829747212418,2.1358952403482756,0.8216719768830287,0.3847941567065073,0.5318122438266487,0.5617964744640132
"frozenset({'ProductRelated_Bin_Low', 'BounceRates_Bin_High'})","frozenset({'ExitRates_Bin_High', 'Weekend_Label_Weekday', 'PageValues_Bin_Low', 'ProductRelated_Duration_Bin_Short', 'Revenue_Label_Revenue_No'})",0.15313396149119213,0.18721835313396148,0.09422367882015567,0.6153023006955591,3.286549050323545,1.0,0.0655541907408952,2.1127801084737494,0.8215342744649349,0.3828229027962717,0.526689977821502,0.5592922882033594
"frozenset({'ExitRates_Bin_Low', 'PageValues_Bin_Low', 'ProductRelated_Duration_Bin_Short', 'Revenue_Label_Revenue_No'})","frozenset({'ProductRelated_Bin_Low', 'BounceRates_Bin_Low'})",0.07652601392871775,0.20376894715280622,0.05120852109791069,0.6691648822269807,3.2839394401207476,1.0,0.03561489580985489,2.406730755208022,0.7531210362878182,0.22353361945636624,0.5844985992570796,0.4602358387813633
"frozenset({'ProductRelated_Bin_Low', 'BounceRates_Bin_High', 'Weekend_Label_Weekday', 'Revenue_Label_Revenue_No'})","frozenset({'ExitRates_Bin_High', 'ProductRelated_Duration_Bin_Short'})",0.11732896353953298,0.2467841048750512,0.09496108152396558,0.8093575418994413,3.279617795113772,1.0,0.06600615828094442,3.9509346586773866,0.7874807172598673,0.35281582952815826,0.7468953332843121,0.5970758493029743
"frozenset({'ProductRelated_Bin_Low', 'BounceRates_Bin_High'})","frozenset({'ExitRates_Bin_High', 'PageValues_Bin_Low', 'Weekend_Label_Weekday', 'ProductRelated_Duration_Bin_Short'})",0.15313396149119213,0.19139696845555101,0.09594428512904547,0.6265382557517389,3.2735014603809818,1.0,0.0666349091320422,2.1651562549521137,0.8201022088236616,0.38595912986156883,0.5381395695055197,0.5639112511635407
"frozenset({'ProductRelated_Bin_Low', 'BounceRates_Bin_High', 'Revenue_Label_Revenue_No'})","frozenset({'ExitRates_Bin_High', 'Weekend_Label_Weekday', 'ProductRelated_Duration_Bin_Short'})",0.1476444080294961,0.1965587873822204,0.09496108152396558,0.6431742508324084,3.272172459945621,1.0,0.06594027571792206,2.251634626963046,0.8146748171219276,0.38099934253780404,0.5558782104231639,0.5631461083257499
"frozenset({'ExitRates_Bin_Low', 'ProductRelated_Duration_Bin_Short', 'Revenue_Label_Revenue_No'})","frozenset({'ProductRelated_Bin_Low', 'BounceRates_Bin_Low'})",0.07767308480131094,0.20376894715280622,0.05178205653420729,0.6666666666666666,3.271679399544297,1.0,0.035954693822133524,2.388693158541581,0.752820467264813,0.22547270781305742,0.5813610482266584,0.4603940490550864
"frozenset({'ProductRelated_Bin_Low', 'BounceRates_Bin_High', 'Weekend_Label_Weekday'})","frozenset({'ExitRates_Bin_High', 'PageValues_Bin_Low', 'ProductRelated_Duration_Bin_Short'})",0.12191724702990578,0.24063908234330192,0.09594428512904547,0.7869623655913979,3.270301556705145,1.0,0.06660623068194729,3.5644449384011576,0.790606351258649,0.35986478180700676,0.7194514104491812,0.5928342641712523
